U_ID,NEG_ID,REQ_ID,Price,Bid Time,Reject_Reason,Surrogate_id,Surrogate_comments,REQ_ID,ITEM_ID,PRODUCT_NAME,PRICE,REVISED_PRICE,UNIT_PRICE,REV_UNIT_PRICE,BID_TIME,TYPE
12815,23410,68226,null,null,2301.0,130.0,130.0,83819,8571,182560.0,null,null,0.0,null,null,null
12815,23411,68227,null,null,602000.0,215.0,215.0,91201,9587,9156.8,null,null,0.0,null,null,null
12815,21640,63457,null,null,0.0,0.0,0.0,91548,9587,9156.8,null,null,null,null,null,null
12815,21640,63456,null,null,1180.0,1000.0,1000.0,93699,10050,218400.0,null,null,0.0,null,null,null
12815,24270,70230,null,null,2301.0,39.0,39.0,93700,10050,218400.0,null,null,0.0,null,null,null
12815,24270,70229,null,null,2301.0,39.0,39.0,93768,10050,218400.0,null,null,null,null,null,null
12815,24270,70228,null,null,5888.2,499.0,499.0,93780,10050,203840.0,null,null,0.0,null,null,null
12815,24270,70227,null,null,5546.0,235.0,235.0,93794,10050,202720.0,null,null,0.0,null,null,null
12815,24493,70749,null,null,103840.0,88000.0,81840.0,99584,10853,212800.0,null,null,0.0,null,null,null
12815,24493,70749,null,null,103840.0,88000.0,80080.0,99874,10853,212800.0,null,null,null,null,null,null
12815,24493,70749,null,null,103840.0,88000.0,79640.0,99922,10853,210560.0,null,null,0.0,null,null,null
12815,24493,70749,null,null,103840.0,88000.0,79200.0,99924,10853,208320.0,null,null,0.0,null,null,null
12815,22310,65102,null,null,0.0,0.0,0.0,99925,10853,204960.0,null,null,0.0,null,null,null
12815,15172,45069,null,null,12980.0,220.0,220.0,99927,10853,203840.0,null,null,0.0,null,null,null
12815,15172,45069,null,null,12980.0,220.0,220.0,99947,10853,202720.0,null,null,0.0,null,null,null
12815,15172,45069,null,null,12980.0,220.0,210.0,102313,11329,16567.2,null,null,0.0,null,null,null
12815,15172,45069,null,null,12980.0,220.0,208.0,102315,10985,19234.0,null,null,0.0,null,null,null
12815,15172,45069,null,null,12980.0,220.0,206.0,102854,11329,16567.2,null,null,null,null,null,null
12815,15172,45069,null,null,12980.0,220.0,200.0,102886,11329,12425.4,null,null,0.0,null,null,null
12815,15172,45069,null,null,12980.0,220.0,205.0,104630,11651,229600.0,null,null,0.0,null,null,null
12815,25483,73146,null,null,588000.0,210.0,210.0,104645,11651,229600.0,null,null,null,null,null,null
12815,25717,73626,null,null,4720.0,40.0,40.0,104673,11651,225120.0,null,null,0.0,null,null,null
12815,25717,73625,null,null,4720.0,40.0,40.0,104674,11651,221760.0,null,null,0.0,null,null,null
12815,25717,73627,null,null,2360.0,200.0,200.0,104675,11651,217280.0,null,null,0.0,null,null,null
12815,25717,73624,null,null,17700.0,150.0,150.0,108534,12216,119161.12,null,null,0.0,null,null,null
12815,25483,73146,null,null,588000.0,210.0,205.0,108648,12216,119161.12,null,null,null,null,null,null
12815,25483,73146,null,null,588000.0,210.0,204.0,108658,12216,106200.0,null,null,0.0,null,null,null
